=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:59:32 =~=~=~=~=~=~=~=~=~=~=~=
calibratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2076568;10164067
2076621;10165180
2076674;10165736
2076727;10166057
2076781;10166762
2076833;10166535
2076887;10166634
2076940;10166486
2076994;10167110
2077047;10167327
2077100;10167076
2077153;10167286
2077206;10166510
2077260;10166996
2077313;10167303
2077366;10167726
2077419;10167960
2077473;10167510
2077526;10168194
2077579;10168264
2077632;10169117
2077686;10168155
2077739;10167086
2077792;10168051
2077846;10166924
2077898;10167470
2077952;10166742
2078005;10167375
2078058;10166844
2078112;10167894
2078165;10167573
2078219;10167445
2078272;10166747
2078325;10166475
2078378;10166431
2078431;10166013
2078484;10167086
2078538;10166757
2078591;10167549
2078645;10166269
2078697;10166293
2078750;10166899
2078804;10167677
2078857;10167677
2078911;10167003
2078964;10168199
2079017;10168047
2079070;10169856
2079123;10169880
2079177;10168868
2079230;10168264
2079283;10169119
2079337;10169182
2079390;10169916
2079443;10171107
2079496;10170861
2079550;10171481
2079603;10170561
2079656;10170989
2079709;10170235
2079762;10172633
2079816;10171914
2079869;10172561
2079923;10172155
2079975;10171457
2080029;10171049
2080082;10168921
2080135;10169049
2080189;10168547
2080241;10169341
2080295;10169296
2080348;10169576
2080402;10170443
2080454;10170453
2080508;10171122
2080561;10171648
2080615;10171286
2080668;10171762
2080721;10171609
2080774;10170895
2080828;10170073
2080881;10169250
2080934;10169395
2080988;10170201
2081040;10170803
2081094;10171177
2081147;10170501
2081201;10170235
2081253;10170537
2081306;10171245
2081360;10171305
2081413;10172442
2081467;10172220
2081519;10172457
2081573;10171392
2081626;10169595
2081680;10170324
2081733;10170931
2081786;10171423
2081839;10170994
2081893;10172047
2081946;10171679
2081999;10171029
2082053;10169605
2082105;10169846
2082159;10169955
2082212;10170641
2082265;10171018
2082319;10171059
2082372;10171491
2082425;10171935
2082478;10173013
2082532;10173324
2082585;10173904
2082638;10173329
2082691;10171122
2082744;10171890
2082798;10171136
2082851;10170728
2082905;10171088
2082957;10171506
2083011;10172382
2083064;10172121
2083117;10171259
2083171;10171102
2083224;10170148
2083277;10170595
2083330;10170675
2083384;10171836
2083437;10171315
2083490;10170837
2083543;10170778
2083596;10171211
2083650;10171993
2083703;10170965
2083756;10171786
2083810;10172285
2083863;10173447
2083916;10173846
2083969;10173515
2084023;10174751
2084076;10174225
2084129;10175681
2084183;10174894
2084235;10175662
2084289;10176461
2084342;10176062
2084395;10176642
2084448;10175988
2084502;10174766
2084555;10175609
2084609;10174447
2084662;10173761
2084714;10173821
2084768;10173923
2084821;10175194
2084875;10175135
2084928;10175771
2084981;10176675
2085034;10177068
2085088;10176167
2085141;10176140
2085194;10174273
2085247;10174032
2085301;10174442
2085354;10174150
2085407;10174406
2085461;10174879
2085513;10175396
2085567;10174781
2085620;10174785
2085673;10176096
2085727;10176456
2085779;10176701
2085833;10175879
2085887;10176082
2085939;10176563
2085993;10177049
2086046;10176239
2086100;10175584
2086153;10176249
2086206;10175918
2086259;10175879
2086312;10176307
2086366;10176087
2086419;10175928
2086473;10175978
2086525;10176312
2086578;10176543
2086632;10176563
2086685;10176428
2086739;10176338
2086792;10175430
2086845;10175254
2086898;10175273
2086951;10176485
2087005;10176874
2087058;10174254
2087111;10171896
2087164;10171068
2087218;10171353
2087271;10171535
2087324;10172520
2087378;10175225
2087430;10175681
2087484;10176553
2087537;10174879
2087591;10171624
2087643;10169936
2087697;10171083
2087750;10172885
2087803;10173732
2087857;10174259
2087910;10172935
2087963;10171619
2088016;10173614
2088070;10174268
2088123;10176514
2088176;10176077
